dataset,graph,solver,num_nodes,num_edges,total_time_micro_seconds,solve_time_micro_seconds,transformation_time_micro_seconds,mwu_iterations,avg_oracle_time_micro_seconds,avg_tree_height,load_computation_micro_seconds,mendel_total_micro_seconds,mendel_avg_micro_seconds,oblivious_ratio,demand_model,offline_opt,achieved_congestion,ratio_pct,mwu_weight_update_time_micro_seconds,cycle_removal_type,cycle_removal_time_micro_seconds,status
2dgrids,grid_10x20.lgf,Electrical Flow (naive),200,370,606872,172154,102308,23,7458.43,NaN,326632,NaN,NaN,8.20359,none,NaN,NaN,NaN,1734,none,NaN,OK
2dgrids,grid_10x20.lgf,Electrical Flow (sketching),200,370,318084,167366,99963,23,7222.87,NaN,371736,NaN,NaN,8.25966,none,NaN,NaN,NaN,1616,none,NaN,OK
2dgrids,grid_12x12.lgf,Electrical Flow (naive),144,264,263457,77110,44394,20,3836.25,NaN,137402,NaN,NaN,7.78839,none,NaN,NaN,NaN,1056,none,NaN,OK
2dgrids,grid_12x12.lgf,Electrical Flow (sketching),144,264,146111,72939,42379,20,3611.4,NaN,163712,NaN,NaN,8.16758,none,NaN,NaN,NaN,1080,none,NaN,OK
2dgrids,grid_12x18.lgf,Electrical Flow (naive),216,402,714558,203709,123382,23,8828.3,NaN,379930,NaN,NaN,8.39426,none,NaN,NaN,NaN,2053,none,NaN,OK
2dgrids,grid_12x18.lgf,Electrical Flow (sketching),216,402,376634,199072,119780,23,8602.52,NaN,430449,NaN,NaN,8.73322,none,NaN,NaN,NaN,1990,none,NaN,OK
2dgrids,grid_12x31.lgf,Electrical Flow (naive),372,701,2.57844e+06,702969,476073,27,26000.6,NaN,1.38495e+06,NaN,NaN,8.79718,none,NaN,NaN,NaN,4052,none,NaN,OK
2dgrids,grid_12x31.lgf,Electrical Flow (sketching),372,701,1.2953e+06,699102,468742,27,25813.7,NaN,1.49816e+06,NaN,NaN,9.40716,none,NaN,NaN,NaN,3908,none,NaN,OK
2dgrids,grid_14x16.lgf,Electrical Flow (naive),224,418,791605,220462,132302,23,9561.04,NaN,431556,NaN,NaN,8.40571,none,NaN,NaN,NaN,2263,none,NaN,OK
2dgrids,grid_14x16.lgf,Electrical Flow (sketching),224,418,408490,217039,130324,23,9376.22,NaN,484910,NaN,NaN,8.73179,none,NaN,NaN,NaN,2173,none,NaN,OK
2dgrids,grid_14x30.lgf,Electrical Flow (naive),420,796,3.60373e+06,995953,688997,29,34305.4,NaN,1.90019e+06,NaN,NaN,9.09573,none,NaN,NaN,NaN,5678,none,NaN,OK
2dgrids,grid_14x30.lgf,Electrical Flow (sketching),420,796,1.8021e+06,970335,670507,29,33380.7,NaN,2.04302e+06,NaN,NaN,9.42323,none,NaN,NaN,NaN,5308,none,NaN,OK
2dgrids,grid_15x25.lgf,Electrical Flow (naive),375,710,2.9355e+06,808605,533224,28,28848.6,NaN,1.57735e+06,NaN,NaN,9.06487,none,NaN,NaN,NaN,5303,none,NaN,OK
2dgrids,grid_15x25.lgf,Electrical Flow (sketching),375,710,1.45118e+06,790679,517119,28,28161.1,NaN,1.70497e+06,NaN,NaN,9.13784,none,NaN,NaN,NaN,4960,none,NaN,OK
2dgrids,grid_20_20.lgf,Electrical Flow (naive),400,760,3.41283e+06,949331,616553,28,33871.5,NaN,1.82829e+06,NaN,NaN,9.07639,none,NaN,NaN,NaN,6336,none,NaN,OK
2dgrids,grid_20_20.lgf,Electrical Flow (sketching),400,760,1.72922e+06,945031,624231,28,33672.2,NaN,1.96986e+06,NaN,NaN,9.53649,none,NaN,NaN,NaN,6130,none,NaN,OK
2dgrids,grid_20x25.lgf,Electrical Flow (naive),500,955,6.01702e+06,1.62856e+06,1.2389e+06,30,54237,NaN,3.12352e+06,NaN,NaN,9.44689,none,NaN,NaN,NaN,10346,none,NaN,OK
2dgrids,grid_20x25.lgf,Electrical Flow (sketching),500,955,3.02625e+06,1.61891e+06,1.17916e+06,30,53864.9,NaN,3.32679e+06,NaN,NaN,9.56385,none,NaN,NaN,NaN,9204,none,NaN,OK
2dgrids,grid_20x35.lgf,Electrical Flow (naive),700,1345,1.43336e+07,3.7134e+06,3.46702e+06,34,109159,NaN,7.10899e+06,NaN,NaN,9.84496,none,NaN,NaN,NaN,18233,none,NaN,OK
2dgrids,grid_20x35.lgf,Electrical Flow (sketching),700,1345,7.69051e+06,3.79649e+06,3.50202e+06,34,111527,NaN,7.45848e+06,NaN,NaN,9.90754,none,NaN,NaN,NaN,16959,none,NaN,OK
2dgrids,grid_20x39.lgf,Electrical Flow (naive),780,1501,1.90418e+07,4.92253e+06,4.7609e+06,35,140596,NaN,9.30686e+06,NaN,NaN,9.93359,none,NaN,NaN,NaN,22025,none,NaN,OK
2dgrids,grid_20x39.lgf,Electrical Flow (sketching),780,1501,1.03533e+07,5.04456e+06,4.83213e+06,35,143974,NaN,9.73446e+06,NaN,NaN,10.3696,none,NaN,NaN,NaN,19403,none,NaN,OK
2dgrids,grid_25x25.lgf,Electrical Flow (naive),625,1200,1.11461e+07,2.96821e+06,2.48873e+06,33,89891.1,NaN,5.65008e+06,NaN,NaN,9.6396,none,NaN,NaN,NaN,17016,none,NaN,OK
2dgrids,grid_25x25.lgf,Electrical Flow (sketching),625,1200,5.98354e+06,3.05986e+06,2.57408e+06,33,92593.2,NaN,5.9622e+06,NaN,NaN,10.4432,none,NaN,NaN,NaN,15382,none,NaN,OK
2dgrids,grid_25x45.lgf,Electrical Flow (naive),1125,2180,5.13279e+07,1.31551e+07,1.33532e+07,40,328811,NaN,2.47241e+07,NaN,NaN,10.431,none,NaN,NaN,NaN,46340,none,NaN,OK
2dgrids,grid_25x45.lgf,Electrical Flow (sketching),1125,2180,2.75185e+07,1.3225e+07,1.33861e+07,40,330414,NaN,2.55395e+07,NaN,NaN,10.9522,none,NaN,NaN,NaN,42768,none,NaN,OK
2dgrids,grid_29x40.lgf,Electrical Flow (naive),1160,2251,5.60778e+07,1.45035e+07,1.40751e+07,40,362499,NaN,2.74017e+07,NaN,NaN,10.5192,none,NaN,NaN,NaN,46875,none,NaN,OK
2dgrids,grid_29x40.lgf,Electrical Flow (sketching),1160,2251,2.95919e+07,1.45409e+07,1.4066e+07,40,363300,NaN,2.82863e+07,NaN,NaN,11.0481,none,NaN,NaN,NaN,49953,none,NaN,OK
2dgrids,grid_30x30.lgf,Electrical Flow (naive),900,1740,2.94038e+07,7.74798e+06,7.07301e+06,37,209338,NaN,1.45164e+07,NaN,NaN,10.1007,none,NaN,NaN,NaN,30579,none,NaN,OK
2dgrids,grid_30x30.lgf,Electrical Flow (sketching),900,1740,1.54941e+07,7.76258e+06,7.08831e+06,37,209625,NaN,1.50937e+07,NaN,NaN,10.6841,none,NaN,NaN,NaN,30067,none,NaN,OK
2dgrids,grid_30x50.lgf,Electrical Flow (naive),1500,2920,1.08103e+08,2.75684e+07,2.80352e+07,44,626466,NaN,5.23437e+07,NaN,NaN,10.8244,none,NaN,NaN,NaN,84810,none,NaN,OK
2dgrids,grid_30x50.lgf,Electrical Flow (sketching),1500,2920,5.74112e+07,2.76245e+07,2.82595e+07,44,627459,NaN,5.37246e+07,NaN,NaN,11.2436,none,NaN,NaN,NaN,74840,none,NaN,OK
2dgrids,grid_35x55.lgf,Electrical Flow (naive),1925,3760,2.07976e+08,5.23242e+07,5.54419e+07,48,1.08997e+06,NaN,9.9963e+07,NaN,NaN,11.1531,none,NaN,NaN,NaN,144019,none,NaN,OK
2dgrids,grid_35x55.lgf,Electrical Flow (sketching),1925,3760,1.13346e+08,5.25086e+07,5.85017e+07,48,1.09359e+06,NaN,1.02064e+08,NaN,NaN,11.8713,none,NaN,NaN,NaN,131725,none,NaN,OK
2dgrids,grid_40x60.lgf,Electrical Flow (naive),2400,4700,3.91838e+08,9.58321e+07,1.13069e+08,53,1.80801e+06,NaN,1.82559e+08,NaN,NaN,11.4402,none,NaN,NaN,NaN,239937,none,NaN,OK
2dgrids,grid_40x60.lgf,Electrical Flow (sketching),2400,4700,1.99979e+08,9.50468e+07,1.01434e+08,53,1.79292e+06,NaN,1.85692e+08,NaN,NaN,12.1539,none,NaN,NaN,NaN,227182,none,NaN,OK
2dgrids,grid_9x24.lgf,Electrical Flow (naive),216,399,757186,210871,129986,23,9147.09,NaN,410361,NaN,NaN,8.05501,none,NaN,NaN,NaN,1626,none,NaN,OK
2dgrids,grid_9x24.lgf,Electrical Flow (sketching),216,399,402348,211063,131452,23,9112.74,NaN,464176,NaN,NaN,8.43635,none,NaN,NaN,NaN,1796,none,NaN,OK
expander,expander_1000_8.lgf,Electrical Flow (naive),1000,4000,6.54029e+08,1.20236e+08,4.29949e+07,60,1.9996e+06,NaN,4.75535e+08,NaN,NaN,11.5593,none,NaN,NaN,NaN,1.51968e+07,none,NaN,OK
expander,expander_1000_8.lgf,Electrical Flow (sketching),1000,4000,1.81996e+08,1.18207e+08,4.10676e+07,60,1.9657e+06,NaN,4.83107e+08,NaN,NaN,12.6348,none,NaN,NaN,NaN,1.5085e+07,none,NaN,OK
expander,expander_2000_6.lgf,Electrical Flow (naive),2000,6000,4.10466e+09,9.42043e+08,2.50805e+08,64,1.46922e+07,NaN,2.80872e+09,NaN,NaN,13.1161,none,NaN,NaN,NaN,1.02939e+08,none,NaN,OK
expander,expander_2000_6.lgf,Electrical Flow (sketching),2000,6000,1.24174e+09,9.12914e+08,1.96413e+08,64,1.42391e+07,NaN,2.83959e+09,NaN,NaN,14.3853,none,NaN,NaN,NaN,1.01401e+08,none,NaN,OK
expander,expander_250_6.lgf,Electrical Flow (naive),250,750,5.70263e+06,1.26388e+06,578121,33,38158.1,NaN,3.74892e+06,NaN,NaN,10.0637,none,NaN,NaN,NaN,102579,none,NaN,OK
expander,expander_250_6.lgf,Electrical Flow (sketching),250,750,2.17858e+06,1.24156e+06,564274,33,37455,NaN,4.0149e+06,NaN,NaN,10.9311,none,NaN,NaN,NaN,97769,none,NaN,OK
expander,expander_300_6.lgf,Electrical Flow (naive),300,900,1.01571e+07,2.28042e+06,1.01176e+06,35,64843,NaN,6.66316e+06,NaN,NaN,10.3774,none,NaN,NaN,NaN,190232,none,NaN,OK
expander,expander_300_6.lgf,Electrical Flow (sketching),300,900,3.81341e+06,2.21082e+06,999953,35,62934.1,NaN,7.06867e+06,NaN,NaN,10.9304,none,NaN,NaN,NaN,185742,none,NaN,OK
expander,expander_300_8.lgf,Electrical Flow (naive),300,1200,1.58143e+07,2.81348e+06,1.69376e+06,42,66703.1,NaN,1.10121e+07,NaN,NaN,9.83205,none,NaN,NaN,NaN,281170,none,NaN,OK
expander,expander_300_8.lgf,Electrical Flow (sketching),300,1200,5.34645e+06,2.80485e+06,1.7086e+06,42,66522.3,NaN,1.15562e+07,NaN,NaN,10.7298,none,NaN,NaN,NaN,275236,none,NaN,OK
expander,expander_350_6.lgf,Electrical Flow (naive),350,1050,1.54217e+07,3.46013e+06,1.5679e+06,36,95833.1,NaN,1.007e+07,NaN,NaN,10.5596,none,NaN,NaN,NaN,309659,none,NaN,OK
expander,expander_350_6.lgf,Electrical Flow (sketching),350,1050,5.91398e+06,3.46741e+06,1.57016e+06,36,95997.2,NaN,1.06299e+07,NaN,NaN,11.3648,none,NaN,NaN,NaN,302630,none,NaN,OK
expander,expander_350_8.lgf,Electrical Flow (naive),350,1400,2.55366e+07,4.58852e+06,2.56824e+06,43,106281,NaN,1.79053e+07,NaN,NaN,10.0418,none,NaN,NaN,NaN,457959,none,NaN,OK
expander,expander_350_8.lgf,Electrical Flow (sketching),350,1400,8.1896e+06,4.47558e+06,2.51427e+06,43,103745,NaN,1.86399e+07,NaN,NaN,10.8895,none,NaN,NaN,NaN,448741,none,NaN,OK
expander,expander_400_6.lgf,Electrical Flow (naive),400,1200,2.32989e+07,5.20815e+06,2.12816e+06,38,136583,NaN,1.54768e+07,NaN,NaN,10.791,none,NaN,NaN,NaN,469043,none,NaN,OK
expander,expander_400_6.lgf,Electrical Flow (sketching),400,1200,8.44965e+06,5.18708e+06,2.06481e+06,38,136092,NaN,1.62004e+07,NaN,NaN,11.5551,none,NaN,NaN,NaN,457442,none,NaN,OK
expander,expander_400_8.lgf,Electrical Flow (naive),400,1600,3.76898e+07,6.73806e+06,3.41051e+06,45,149151,NaN,2.68235e+07,NaN,NaN,10.2886,none,NaN,NaN,NaN,697873,none,NaN,OK
expander,expander_400_8.lgf,Electrical Flow (sketching),400,1600,1.1882e+07,6.81251e+06,3.37022e+06,45,150947,NaN,2.78176e+07,NaN,NaN,11.2058,none,NaN,NaN,NaN,685503,none,NaN,OK
expander,expander_450_8.lgf,Electrical Flow (naive),450,1800,5.57525e+07,9.92218e+06,4.62381e+06,47,210585,NaN,4.01203e+07,NaN,NaN,10.4467,none,NaN,NaN,NaN,1.06274e+06,none,NaN,OK
expander,expander_450_8.lgf,Electrical Flow (sketching),450,1800,1.67291e+07,9.84473e+06,4.52596e+06,47,208875,NaN,4.14098e+07,NaN,NaN,11.245,none,NaN,NaN,NaN,1.0456e+06,none,NaN,OK
expander,expander_500_8.lgf,Electrical Flow (naive),500,2000,7.59438e+07,1.34526e+07,6.33105e+06,48,279370,NaN,5.46496e+07,NaN,NaN,10.5726,none,NaN,NaN,NaN,1.48419e+06,none,NaN,OK
expander,expander_500_8.lgf,Electrical Flow (sketching),500,2000,2.32311e+07,1.36166e+07,6.48778e+06,48,282862,NaN,5.62849e+07,NaN,NaN,11.6831,none,NaN,NaN,NaN,1.46516e+06,none,NaN,OK
expander,expander_650_6.lgf,Electrical Flow (naive),650,1950,1.00389e+08,2.31407e+07,7.0585e+06,44,524618,NaN,6.77216e+07,NaN,NaN,11.4345,none,NaN,NaN,NaN,2.43709e+06,none,NaN,OK
expander,expander_650_6.lgf,Electrical Flow (sketching),650,1950,3.48072e+07,2.32009e+07,7.08716e+06,44,525888,NaN,6.9801e+07,NaN,NaN,12.5098,none,NaN,NaN,NaN,2.4083e+06,none,NaN,OK
expander,expander_700_6.lgf,Electrical Flow (naive),700,2100,1.24736e+08,2.84981e+07,8.25881e+06,45,631744,NaN,8.49144e+07,NaN,NaN,11.4888,none,NaN,NaN,NaN,3.03017e+06,none,NaN,OK
expander,expander_700_6.lgf,Electrical Flow (sketching),700,2100,4.25009e+07,2.86406e+07,8.36403e+06,45,634799,NaN,8.73841e+07,NaN,NaN,12.4118,none,NaN,NaN,NaN,2.99246e+06,none,NaN,OK
expander,expander_750_6.lgf,Electrical Flow (naive),750,2250,1.59609e+08,3.59155e+07,1.0315e+07,46,778851,NaN,1.09395e+08,NaN,NaN,11.7183,none,NaN,NaN,NaN,3.94556e+06,none,NaN,OK
expander,expander_750_6.lgf,Electrical Flow (sketching),750,2250,5.30514e+07,3.57886e+07,1.03716e+07,46,775937,NaN,1.12348e+08,NaN,NaN,12.6866,none,NaN,NaN,NaN,3.90052e+06,none,NaN,OK
expander,expander_800_6.lgf,Electrical Flow (naive),800,2400,1.88627e+08,4.31895e+07,1.17943e+07,47,916676,NaN,1.28944e+08,NaN,NaN,11.7702,none,NaN,NaN,NaN,4.6578e+06,none,NaN,OK
expander,expander_800_6.lgf,Electrical Flow (sketching),800,2400,6.29027e+07,4.3213e+07,1.17555e+07,47,917173,NaN,1.3223e+08,NaN,NaN,12.7691,none,NaN,NaN,NaN,4.60657e+06,none,NaN,OK
expander,expander_800_8.lgf,Electrical Flow (naive),800,3200,3.16941e+08,5.79407e+07,2.05224e+07,56,1.0322e+06,NaN,2.31091e+08,NaN,NaN,11.2643,none,NaN,NaN,NaN,7.33827e+06,none,NaN,OK
expander,expander_800_8.lgf,Electrical Flow (sketching),800,3200,9.19219e+07,5.84355e+07,2.16696e+07,56,1.04095e+06,NaN,2.3558e+08,NaN,NaN,12.3344,none,NaN,NaN,NaN,7.2789e+06,none,NaN,OK
expander,expander_850_8.lgf,Electrical Flow (naive),850,3400,3.83043e+08,7.03838e+07,2.3756e+07,57,1.232e+06,NaN,2.79947e+08,NaN,NaN,11.3725,none,NaN,NaN,NaN,8.90324e+06,none,NaN,OK
expander,expander_850_8.lgf,Electrical Flow (sketching),850,3400,1.0832e+08,7.02653e+07,2.39858e+07,57,1.22977e+06,NaN,2.85139e+08,NaN,NaN,12.484,none,NaN,NaN,NaN,8.82383e+06,none,NaN,OK
expander,expander_900_8.lgf,Electrical Flow (naive),900,3600,4.68804e+08,8.61603e+07,3.5507e+07,58,1.48224e+06,NaN,3.3638e+08,NaN,NaN,11.4446,none,NaN,NaN,NaN,1.06983e+07,none,NaN,OK
expander,expander_900_8.lgf,Electrical Flow (sketching),900,3600,1.39208e+08,8.63956e+07,3.6224e+07,58,1.48616e+06,NaN,3.42294e+08,NaN,NaN,12.3789,none,NaN,NaN,NaN,1.06156e+07,none,NaN,OK
expander,expander_950_8.lgf,Electrical Flow (naive),950,3800,5.48631e+08,1.01061e+08,3.35028e+07,59,1.70913e+06,NaN,4.01263e+08,NaN,NaN,11.5032,none,NaN,NaN,NaN,1.27435e+07,none,NaN,OK
expander,expander_950_8.lgf,Electrical Flow (sketching),950,3800,1.51506e+08,1.00117e+08,3.20002e+07,59,1.69305e+06,NaN,4.07964e+08,NaN,NaN,12.6282,none,NaN,NaN,NaN,1.26258e+07,none,NaN,OK
fat_clique,FatClique_n128_m1216.lgf,Electrical Flow (naive),128,1216,4.66059e+06,499316,231446,58,8573.79,NaN,3.8805e+06,NaN,NaN,7.33333,none,NaN,NaN,NaN,40771,none,NaN,OK
fat_clique,FatClique_n128_m1216.lgf,Electrical Flow (sketching),128,1216,1.62368e+06,494523,854470,58,8451.6,NaN,4.10693e+06,NaN,NaN,8.46266,none,NaN,NaN,NaN,40067,none,NaN,OK
fat_clique,FatClique_n32_m112.lgf,Electrical Flow (naive),32,112,31184,6681,4614,23,277.826,NaN,18495,NaN,NaN,6,none,NaN,NaN,NaN,674,none,NaN,OK
fat_clique,FatClique_n32_m112.lgf,Electrical Flow (sketching),32,112,20548,6162,5422,23,252.913,NaN,25969,NaN,NaN,6.65951,none,NaN,NaN,NaN,866,none,NaN,OK
fat_clique,FatClique_n512_m6400.lgf,Electrical Flow (naive),512,6400,4.86932e+08,3.48511e+07,1.35711e+07,98,355115,NaN,4.34055e+08,NaN,NaN,8.33333,none,NaN,NaN,NaN,4.39952e+06,none,NaN,OK
fat_clique,FatClique_n512_m6400.lgf,Electrical Flow (sketching),512,6400,9.31855e+07,3.47559e+07,4.92679e+07,98,353995,NaN,4.38748e+08,NaN,NaN,9.5251,none,NaN,NaN,NaN,4.41227e+06,none,NaN,OK
fat_clique,FatClique_n64_m352.lgf,Electrical Flow (naive),64,352,314811,49325,31028,35,1394.49,NaN,228760,NaN,NaN,6.8,none,NaN,NaN,NaN,3755,none,NaN,OK
fat_clique,FatClique_n64_m352.lgf,Electrical Flow (sketching),64,352,156150,49812,61572,35,1392.43,NaN,266866,NaN,NaN,7.30119,none,NaN,NaN,NaN,4735,none,NaN,OK
fat_clique,FatClique_n8_m12.lgf,Electrical Flow (naive),8,12,473,215,3,11,7.63636,NaN,147,NaN,NaN,3.83333,none,NaN,NaN,NaN,39,none,NaN,OK
fat_clique,FatClique_n8_m12.lgf,Electrical Flow (sketching),8,12,578,157,6,11,7,NaN,465,NaN,NaN,2.30194,none,NaN,NaN,NaN,37,none,NaN,OK
fat_clique,Fatclique_m750.lgf,Electrical Flow (naive),180,1530,1.10732e+07,1.17891e+06,541080,58,20274.8,NaN,9.2404e+06,NaN,NaN,7.6,none,NaN,NaN,NaN,102572,none,NaN,OK
fat_clique,Fatclique_m750.lgf,Electrical Flow (sketching),180,1530,3.32211e+06,1.17094e+06,1.65908e+06,58,20087.3,NaN,9.61965e+06,NaN,NaN,8.4184,none,NaN,NaN,NaN,101320,none,NaN,OK
fat_clique,fat_clique_n144_m1152.lgf,Electrical Flow (naive),144,1152,4.99114e+06,577020,291025,53,10854.6,NaN,4.06914e+06,NaN,NaN,7.31429,none,NaN,NaN,NaN,43814,none,NaN,OK
fat_clique,fat_clique_n144_m1152.lgf,Electrical Flow (sketching),144,1152,1.68499e+06,578947,826917,53,10841.6,NaN,4.29937e+06,NaN,NaN,8.06976,none,NaN,NaN,NaN,41657,none,NaN,OK
fat_clique,fat_clique_n160_m1200.lgf,Electrical Flow (naive),160,1200,6.27342e+06,741313,369746,52,14215.5,NaN,5.0936e+06,NaN,NaN,7.07143,none,NaN,NaN,NaN,60704,none,NaN,OK
fat_clique,fat_clique_n160_m1200.lgf,Electrical Flow (sketching),160,1200,2.0301e+06,741460,958541,52,14175.6,NaN,5.35607e+06,NaN,NaN,8.13831,none,NaN,NaN,NaN,58745,none,NaN,OK
fat_clique,fat_clique_n200_m1040.lgf,Electrical Flow (naive),200,1500,1.26433e+07,1.42035e+06,686840,55,25762.1,NaN,1.04009e+07,NaN,NaN,6.95385,none,NaN,NaN,NaN,122943,none,NaN,OK
fat_clique,fat_clique_n200_m1040.lgf,Electrical Flow (sketching),200,1500,3.64847e+06,1.40569e+06,1.70976e+06,55,25437.7,NaN,1.08017e+07,NaN,NaN,8.00545,none,NaN,NaN,NaN,120201,none,NaN,OK
fat_clique,fat_clique_n200_m1500.lgf,Electrical Flow (naive),200,1500,1.26429e+07,1.42253e+06,700310,55,25802.6,NaN,1.03847e+07,NaN,NaN,6.95385,none,NaN,NaN,NaN,123305,none,NaN,OK
fat_clique,fat_clique_n200_m1500.lgf,Electrical Flow (sketching),200,1500,3.66219e+06,1.40683e+06,1.7201e+06,55,25472.3,NaN,1.07873e+07,NaN,NaN,8.10324,none,NaN,NaN,NaN,120747,none,NaN,OK
fat_clique,fat_clique_n210_m1500.lgf,Electrical Flow (naive),210,1575,1.44047e+07,1.64148e+06,792639,56,29243.2,NaN,1.18106e+07,NaN,NaN,7.01818,none,NaN,NaN,NaN,147407,none,NaN,OK
fat_clique,fat_clique_n210_m1500.lgf,Electrical Flow (sketching),210,1575,4.23574e+06,1.65141e+06,1.98153e+06,56,29365.3,NaN,1.22547e+07,NaN,NaN,7.84961,none,NaN,NaN,NaN,145875,none,NaN,OK
fat_clique,fatclique_10_5_6.lgf,Electrical Flow (naive),300,2700,5.4655e+07,5.24192e+06,2.47671e+06,69,75830.9,NaN,4.63983e+07,NaN,NaN,7.41818,none,NaN,NaN,NaN,515470,none,NaN,OK
